#time,pitch,yaw,roll,x,y,z
10100,7.106248526372685,0.0,-103.14407642587348,409.42074053476694,97.21908980717319,643.1737709963913
10200,7.018745067100159,0.0,-103.83853912762203,411.1269565365266,97.29894902627524,644.0180320626671
10300,6.937273563820021,0.0,-104.53364738283554,412.85202981069745,97.4038072404709,644.8612585419173
10400,6.861637958169849,0.0,-105.22938046910356,414.5951721626972,97.53248403292484,645.7024857772324
10500,6.791642191787241,0.0,-105.92571766401608,416.35559539794446,97.68379898680185,646.5407491117033
10600,6.72709020630978,0.0,-106.62263824516269,418.132511321857,97.85657168526659,647.3750838884199
10700,6.66778594337506,0.0,-107.32012149013325,419.9251317398531,98.04962171148378,648.2045254504728
10800,6.613533344620666,0.0,-108.01814667651746,421.7326684573509,98.26176864861817,649.0281091409524
10900,6.564136351684187,0.0,-108.71669308190509,423.55433327976834,98.49183207983444,649.8448703029492
11000,6.519398906203215,0.0,-109.41573998388596,425.3893380125238,98.73863158829734,650.6538442795535
11100,6.479124949815336,0.0,-110.11526666004977,427.2368944610354,99.00098675717159,651.454066413856
11200,6.443118424158142,0.0,-110.81525238798632,429.09621443072103,99.27771716962187,652.2445720489467
11300,6.411183270869219,0.0,-111.51567644528535,430.96650972699916,99.56764240881293,653.0243965279161
11400,6.3831234315861565,0.0,-112.2165181095366,432.8469921552876,99.8695820579095,653.7925751938551
11500,6.358742847946543,0.0,-112.91775665832985,434.7368735210047,100.18235570007623,654.5481433898536
11600,6.337845461587969,0.0,-113.61937136925488,436.6353656295685,100.50478291847791,655.2901364590023
11700,6.320235214148025,0.0,-114.32134151990144,438.5416802863972,100.83568329627923,656.0175897443914
11800,6.305716047264298,0.0,-115.0236463878593,440.4550292969087,101.1738764166449,656.7295385891115
11900,6.294091902574376,0.0,-115.72626525071817,442.3746244665216,101.51818186273965,657.4250183362532
12000,6.285166721715847,0.0,-116.42917738606786,444.2996776006536,101.86741921772823,658.1030643289065
12100,6.278744446326305,0.0,-117.13236207149815,446.2294005047229,102.22040806477528,658.762711910162
12200,6.274629018043333,0.0,-117.83579858459873,448.16300498414785,102.57596798704557,659.4029964231103
12300,6.272624378504527,0.0,-118.53946620295946,450.09970284434644,102.93291856770381,660.0229532108415
12400,6.272534469347469,0.0,-119.24334420417001,452.03870589073665,103.29007938991472,660.6216176164464
12500,6.274163232209752,0.0,-119.94741186582016,453.97922592873687,103.64627003684302,661.1980249830151
12600,6.277314608728962,0.0,-120.6516484654997,455.9204747637651,104.0003100916534,661.7512106536383
12700,6.28179254054269,0.0,-121.35603328079837,457.8616642012396,104.35101913751063,662.2802099714063
12800,6.287400969288526,0.0,-122.06054558930595,459.8020060465783,104.69721675757938,662.7840582794091
12900,6.293943836604058,0.0,-122.76516466861219,461.7407121051996,105.0377225350244,663.2617909207378
