#time,pitch,yaw,roll,x,y,z
4000,7.733225946963968,28.956643908169845,-14.006465738362593,702.8984093613034,101.43431061203417,-59.93856002971958
4100,7.543953919823996,27.40112889071053,-14.319587842562287,700.6699149005755,100.99452299842338,-60.76984091520164
4200,7.363199782701295,25.931807006886366,-14.611184037775029,698.4665869155742,100.56930710533648,-61.56082943620749
4300,7.191598446209665,24.554676133804715,-14.87984581670128,696.2922835216204,100.15988708361118,-62.308597488711264
4400,7.029784820962946,23.275734148572187,-15.12416467204146,694.1508628340325,99.76748708408462,-63.010216968686976
4500,6.878393817574963,22.10097892829592,-15.342732096496015,692.0461829681274,99.39333125759447,-63.66275977210873
4600,6.738060346659543,21.036408350082766,-15.5341395827654,689.9821020392243,99.03864375497815,-64.26329779495056
4700,6.609419318830515,20.088020291039687,-15.69697862355005,687.9624781626414,98.70464872707308,-64.80890293318652
4800,6.493105644701695,19.261812628273553,-15.8298407115504,685.9911694536976,98.3925703247167,-65.29664708279073
4900,6.389754234886916,18.563783238891357,-15.931317339466906,684.0720340277109,98.10363269874652,-65.72360213973718
5000,6.299999999999999,17.99993,-15.999999999999998,682.20893,97.83906,-66.08684
5100,6.137397951602108,17.248492749358565,-16.03957148527289,680.7277903527324,97.6314112070288,-66.34621415217262
5200,5.973165988560704,16.913814494070643,-15.95942650904152,679.2371700005614,97.41469797273828,-66.59243778804439
5300,5.808295271480797,16.979065746035413,-15.764599463707864,677.7374915713377,97.18971342571342,-66.82561218592458
5400,5.643776960967397,17.427417017152067,-15.460124741673926,676.2291776929115,96.95725069453908,-67.04583862412228
5500,5.480602217625519,18.24203881931979,-15.051036735341716,674.7126509931335,96.71810290780022,-67.25321838094672
5600,5.3197622020601685,19.406101664437774,-14.542369837113212,673.1883340998539,96.47306319408177,-67.44785273470703
5700,5.162248074876353,20.90277606440518,-13.939158439390399,671.6566496409238,96.22292468196869,-67.62984296371243
5800,5.009050996679086,22.71523253112121,-13.24643693457529,670.1180202441932,95.96848050004591,-67.79929034627209
5900,4.86116212807338,24.82664157648505,-12.469239715069868,668.5728685375129,95.71052377689836,-67.95629616069515
6000,4.71957262966424,27.22017371239587,-11.612601173276133,667.0216171487332,95.44984764111096,-68.10096168529081
6100,4.585273662056678,29.878999450752865,-10.681555701596073,665.4646887057047,95.18724522126863,-68.23338819836826
6200,4.4592563858557055,32.786289303455234,-9.681137692431683,663.902505836278,94.92350964595636,-68.35367697823666
6300,4.342511961666333,35.92521378240213,-8.616381538184969,662.3354911683036,94.65943404375906,-68.46192930320521
6400,4.236031550093568,39.27894339949278,-7.492321631257909,660.7640673296321,94.39581154326166,-68.55824645158305
